node,v_out,std,v_in (V),std(mV)
0,2.244,1,2.242,2
1,2.233,2,2.242,2
2,2.23,2,2.239,1
3,2.221,2,2.24,2
4,2.223,2,2.241,2
5,2.211,2,2.24,2
6,2.21,2,2.241,2
7,2.201,2,2.24,2
8,2.2,1,2.239,1
9,2.19,1,2.238,2
10,2.19,1,2.238,1
11,2.18,1,2.238,2
12,2.18,1,2.239,1
13,2.17,1,2.239,1
14,2.17,1,2.239,1
15,2.161,1,2.239,1
16,2.161,1,2.239,1
17,2.151,1,2.238,2
18,2.151,1,2.239,2
19,2.143,2,2.24,2
20,2.142,2,2.241,2
21,2.133,2,2.241,2
22,2.133,2,2.24,2
23,2.122,2,2.24,2
24,2.123,2,2.241,2
25,2.113,2,2.24,2
26,2.112,1,2.24,2
27,2.104,2,2.241,2
28,2.102,2,2.24,2
29,2.093,2,2.24,2
30,2.093,1,2.241,2
31,2.082,1,2.24,2
32,2.082,1,2.241,2
33,2.072,1,2.241,2
34,2.072,1,2.241,2
35,2.063,2,2.241,2
36,2.063,1,2.24,2
37,2.053,1,2.24,2
38,2.053,1,2.241,2
39,2.043,1,2.24,2
